"11","Innere Verwaltung"
"12","Sicherheit und Ordnung"
"12.60","Brandschutz"
"21","Schulträgeraufgaben"
"25","Museen, Archiv, Zoo"
"26","Theater, Konzerte, Musikschulen"
"27","Volkshochschulen, Bibliotheken, kulturpädagogische Einrichtungen"
"28","Sonstige Kulturpflege"
"31"," Soziale Hilfen"
"31.10","Grundversorgung und Hilfen nach SGB XII"
"31.20","Grundsicherung für Arbeitsuchende nach SGB II"
"36","Kinder-, Jugend- und Familienhilfe"
"36.30","Hilfen für junge Menschen und ihre Familien"
"36.50","Tageseinrichtungen für Kinder und Tagespflege"
"37","Schwerbehindertenrecht und soziales Entschädigungsrecht"
"41","Gesundheitsdienste"
"41.10","Krankenhäuser"
"41.80","Kur- und Badeeinrichtungen"
"42","Sport und Bäder"
"42.40","Bäder"
"42.41","Sportstätten"
"51","Räumliche Planung und Entwicklung"
"52","Bauen und Wohnen"
"53","Ver- und Entsorgung"
"53.30","Wasserversorgung"
"53.70","Abfallwirtschaft"
"53.80","Abwasserbeseitigung"
"54","Verkehrsflächen und -anlagen, ÖPNV"
"54.70","Verkehrsbetriebe/ÖPNV"
"55","Natur- und Landschaftspflege, Friedhofswesen"
"55.30","Friedhofs- und Bestattungswesen"
"56","Umweltschutz"
"57","Wirtschaft und Tourismus"
"61","Allgemeine Finanzwirtschaft"
"61.10","Steuern, allgemeine Zuweisungen, allgemeine Umlagen"
"61.20","Sonstige allgemeine Finanzwirtschaft"
